CommonName,CY92PPTX.1,CVVU52A9.1,CSWEE3DX.1,CNTLVPX4.1,CNR7WZYJ.1,CDWD42KP.1,CA66THTZ.1,C4SUMTFY.1,4JKGTSJ5.1
Choricystis (Trebouxiophytes (Green Algae)),2.059,0.0797,0.0,0.0,0.0,0.0,1.5667,0.0,0.0984
Tribonema (Yellow-Green Alga),0.0,0.4698,0.2556,0.0,0.0,2.2675,0.0,0.4186,0.0
Nitzschia palea (Nitzschia Diatom),0.6297,0.0,0.2062,0.0,0.0,1.1323,0.3302,0.6008,0.0
Cryptomonas ovata (Cryptomonas (Cryptophyte)),1.0345,0.2562,0.0,0.2763,0.0,0.543,0.4215,0.3018,0.0
Hazenia (Ulvophytes (Green Algae)),0.4223,0.5637,0.0,0.0,0.0709,0.5893,0.0,0.9567,0.0
Eustigmatophytes,1.032,0.0,0.099,0.0,0.0,0.0,1.2224,0.0,0.0803
Melosira (Centric Diatoms),1.8016,0.0,0.0,0.0,0.0,0.0,0.3442,0.0,0.0
Synechococcus (Picocyanobacterium),0.1874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6656
Navicula Diatom,0.0,0.353,1.4513,0.0,0.0,0.0,0.0,0.0,0.0
Euglenaria anabaena (Euglenaria (Euglenoid)),0.0,0.0,0.0,0.0,0.0,1.5338,0.0,0.1993,0.0
Synura truttae (Synura (Colonial Synurophyte)),0.0,0.0,0.0,1.4581,0.0,0.0,0.0,0.0,0.0
Chroomonas 3577x (Chroomonas (Cryptophyte)),0.0,0.2619,0.0,0.0,0.0,0.4679,0.0,0.5381,0.0
Nitzschia Diatom,0.0,0.5096,0.2749,0.0,0.0,0.1213,0.0,0.3217,0.0
Cryptomonas curvata (Cryptomonas (Cryptophyte)),0.105,0.8256,0.0,0.0,0.0,0.0,0.2283,0.0,0.0
Euglenoids (unclassified),0.1199,0.0541,0.1732,0.0,0.0,0.3495,0.0,0.2819,0.0
Fragilaria (Araphid Diatom),0.0,0.0,0.0,0.0,0.0,0.6297,0.3021,0.0,0.0
Trachydiscus minutus (Trachydiscus (Eustigmatophyte)),0.3398,0.0,0.0,0.0,0.0,0.0,0.5691,0.0,0.0
Interfilum (Klebsormidiophytes (Charophytes)),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7972,0.0
Microspora (Green Algae),0.0,0.6634,0.0605,0.0,0.0,0.0,0.0,0.0,0.0
Cryptomonas 75 (Cryptomonas (Cryptophyte)),0.5597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nanofrustulum (Araphid Diatoms),0.4798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ulvophytes (Green Algae),0.1874,0.0,0.0,0.0,0.0,0.1155,0.0,0.1481,0.0
Mosses,0.1324,0.0,0.0,0.0,0.0,0.286,0.0,0.0,0.0
Green Algae (unclassified),0.0,0.0,0.0,0.0,0.0,0.1127,0.0,0.3018,0.0
Synechococcus 8F6 (Synechococcus (Picocyanobacterium)),0.0,0.0,0.0,0.0,0.0,0.0,0.0632,0.0,0.3031
Euglena (Euglenoid),0.07,0.0826,0.0,0.0,0.1672,0.0,0.0,0.0,0.0
Brown Algae,0.1849,0.1224,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coccomyxa (Trebouxiophytes (Green Algae)),0.1324,0.0,0.1347,0.0,0.0,0.0,0.0,0.0,0.0
Synura spinosa (Synura (Colonial Synurophyte)),0.0,0.0,0.0,0.0,0.0,0.2195,0.0,0.0342,0.0
Bathycoccus (Mamiellophytes (Pico-Green Algae)),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2461
Cornus (Aquatic Flowering Plants),0.0,0.0,0.0,0.0,0.0,0.2455,0.0,0.0,0.0
Mallomonas heterospina (Mallomonas (Scaled Synurophyte)),0.0,0.0,0.0,0.0,0.0,0.234,0.0,0.0,0.0
Monomastix minuta (Monomastix (Mamiellophyte)),0.2274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cryptomonas pyrenoidifera (Cryptomonas (Cryptophyte)),0.0,0.2249,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asterochloris (Trebouxiophytes (Green Algae)),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2192,0.0
Mallomonas annulata (Mallomonas (Scaled Synurophyte)),0.0625,0.131,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nyssa (Aquatic Flowering Plants),0.0,0.1851,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synura glabra (Synura (Colonial Synurophyte)),0.0,0.0,0.0,0.0,0.0,0.1762,0.0,0.0,0.0
Ostreococcus (Mamiellophytes (Pico-Green Algae)),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1684
Conjugating Green Algae (Desmids),0.0,0.0,0.0,0.0,0.1615,0.0,0.0,0.0,0.0
Navicula tsukamotoi (Navicula Diatom),0.0,0.0,0.0,0.0,0.0,0.1531,0.0,0.0,0.0
Red Algae (Florideophytes),0.0,0.0,0.0,0.0,0.0,0.0838,0.0,0.0626,0.0
Cyclotella cryptica (Cyclotella (Centric Diatom)),0.0,0.0,0.0,0.0,0.0,0.1329,0.0,0.0,0.0
Synechococcus Minos11 (Synechococcus (Picocyanobacterium)),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1217
Guillardia theta (Guillardia (Cryptophyte)),0.0,0.0,0.0,0.0,0.0,0.0,0.1159,0.0,0.0
Haptophytes (unclassified),0.0875,0.0,0.0,0.0,0.0,0.0,0.0246,0.0,0.0
Ochromonas danica (Ochromonas (Chrysophyte)),0.0,0.0,0.0907,0.0,0.0,0.0,0.0,0.0,0.0
Synechococcus GFB01 (Synechococcus (Picocyanobacterium)),0.0725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chamaesiphon (Cyanobacteria),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0712,0.0
Actinotaenium (Conjugating Green Algae (Desmids)),0.0,0.0,0.0,0.0,0.0709,0.0,0.0,0.0,0.0
Micromonas commoda (Micromonas (Picoplanktonic Green Alga)),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0648
Cyanobacteria (unclassified),0.0575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tetradesmus (Green Algae),0.0,0.0,0.0,0.0,0.0425,0.0,0.0,0.0,0.0
Synechococcus SYN20 (Synechococcus (Picocyanobacterium)),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0414
Euglena adhaerens (Euglena (Euglenoid)),0.0,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.0
